social_id,personal_id,citizen_card,social_nr,fiscal_id
61,61,J9Y3Z7R2I,314-32-7076,443731525
62,62,K7DvP4GfS,625-66-7291,694654475
63,63,19BvM4LmK,138-38-8161,412236261
64,64,S9Pz83C1V,678-76-5365,677724218
65,65,E09tQ1T7F,226-15-2693,301541846
66,66,550v87963,672-10-1353,591322319
67,67,F8V2T0X59,823-72-3254,949634499
68,68,T6J6R8I7Z,786-50-4790,449270911
69,69,I08276U5D,229-68-4337,105522732
70,70,Q0NyL5JoJ,358-77-7845,379033902
71,71,I7LcA3H7J,552-92-5727,038847420
72,72,I7ZnR4WoM,159-32-4287,563729814
73,73,T83yE5EgR,225-26-7176,898420455
74,74,L7X6H6Y4Q,863-05-2030,073730662
75,75,P43i14E6N,778-27-1798,796690358
76,76,W9BoC6U27,767-74-7114,604549199
77,77,86WpH4Z67,761-29-1533,591674020
78,78,Q688T8KwB,282-44-5057,153104899
79,79,W7J534MkS,629-01-8763,817649949
80,80,J22xZ6MmI,240-33-8750,448203446
81,81,T3DgS927C,618-74-1860,965480077
82,82,K6F7R7TdB,125-38-6898,318675914
83,83,Z3QoE5PxS,266-52-6337,913026248
84,84,86BdA8FmO,355-56-7350,357489018
85,85,X695D0QdT,570-82-7452,541608226
86,86,G3YcS7Jg3,778-08-2198,057474915
87,87,U60sJ7QhR,804-65-3243,640387536
88,88,E7L2F909B,238-88-6635,926060468
89,89,R21mA0XeL,670-31-3920,289913173
90,90,X3OhB4YrV,206-89-5861,001317344
91,91,G6ZyA0VaB,287-26-2779,588136128
92,92,K51i500i0,339-45-9388,810428625
93,93,D60fD1Yk9,371-96-4582,176090512
94,94,T3R4555jO,547-49-5925,562561164
95,95,U5FiW5YbP,538-50-7104,358271422
96,96,X61fY5W53,766-20-4889,798802149
97,97,29Mm28QoX,433-74-1063,486907975
98,98,E2Ly29HnI,415-89-7642,237828498
99,99,E1VvE3TqK,501-52-6941,315771252
100,100,C6Om7820N,654-66-4050,782666679
101,101,A1Z6N2WuT,828-21-1160,405498883
102,102,P2CtX4M9E,723-46-1103,644760485
103,103,H6DwB24g7,860-35-8717,558469578
104,104,B0DcC06c3,507-46-8223,365430173
105,105,C3YiB8YqZ,870-98-5869,159784214
106,106,P5XzD0Dq1,184-40-5303,455980409
107,107,11OoH8Wk0,588-85-1053,226249285
108,108,25QoN9E8R,276-37-8804,121147443
109,109,I6ViI0Fy2,449-25-0948,704644309
110,110,A8RpU0VlI,332-52-9567,447463012
111,111,703t37F6K,779-54-7757,552759562
112,112,S9Ya129sY,547-80-8126,793078130
113,113,48C1E63iX,711-13-0729,149786633
114,114,24FqF0RlU,636-49-5223,611259024
115,115,Z4Tz65LzJ,116-27-2713,275118287
116,116,B50244CmS,299-91-2665,588605618
117,117,25ReR3FbZ,354-20-4358,167354308
118,118,715oB1OjY,364-78-2362,458287965
119,119,Z0HsV4NvA,879-92-6207,205985160
120,120,N6Dv144sN,511-88-0082,520468058
121,121,N7GsS0H7S,183-39-4990,328056256
122,122,O76w76GkC,237-79-5373,489779936
123,123,T427S7G0A,128-74-8537,551588545
124,124,K933K7MmO,602-78-4039,548323280
125,125,X2QiH19j1,754-17-3736,449991178
126,126,84Pb519dS,519-96-2965,429345803
127,127,W05aI2X4F,219-39-0356,971011138
128,128,G794682bN,467-22-5456,941347409
129,129,G5WjL6PrF,555-19-0337,009149600
130,130,J17yD4V1M,300-59-2918,481068393
131,131,V6EoX3Gp2,545-56-1692,170566228
132,132,Q4WrO113K,204-49-0721,497618074
133,133,H6AaJ6LcG,279-72-2841,841197884
134,134,56PlM7Ej4,764-38-7838,594507250
135,135,70I6036vG,722-73-0162,452656524
136,136,N8T3S3NjK,544-26-9625,566641955
137,137,Z56j963tN,662-46-5729,928545817
138,138,Q1SmV7Ah7,612-54-0042,773573090
139,139,O6NeZ5Y5W,388-75-5174,335176696
140,140,H176N7Bg9,582-66-8020,440633601
141,141,X8D6L39rP,810-86-4760,469421185
142,142,81H0F7DdI,531-19-7489,052875101
143,143,C85vO3849,347-89-2376,364245033
144,144,87L4O2YiP,735-42-8874,439044257
145,145,W3Z3P2L1R,731-79-5851,753829928
146,146,F1QuP4HfM,172-41-9204,418839293
147,147,Y3GfP832C,531-75-2237,425448077
148,148,53UtM2NtL,543-27-4964,778313362
149,149,S35s95A5F,479-24-0274,171107690
150,150,O4O3M40dS,241-55-2451,423153950
151,151,D5Ay86LxF,414-60-2872,263014472
152,152,D9JcR9Mv4,521-43-6853,134703586
153,153,B0L1X3ZlF,308-25-6072,792261456
154,154,E1WeK9R5Y,112-41-3434,508088325
155,155,19Hd11HhX,673-05-1634,021797831
156,156,M3Ng560tN,582-46-2936,749636349
157,157,23Jz87HoR,593-68-0787,765716452
158,158,S18fG00fN,264-11-1510,752279020
159,159,O4JxG0LoF,869-55-5504,495231879
160,160,548f95Z9U,711-46-8031,125381950
161,161,016rB2ChS,263-32-8195,292488098
162,162,371x29J4C,781-10-6174,259060930
163,163,R3DjC3S7A,887-33-9399,996961754
164,164,V4LcW53fN,356-09-4188,600358459
165,165,D106D8W9T,295-03-9277,839101199
166,166,D8N926EaW,156-55-2452,491693096
167,167,L8F0171dS,594-14-0409,862138742
168,168,650tI0C0W,461-50-9868,047064871
169,169,Y14517Bt7,513-03-0106,394677343
170,170,D6PaU5NnJ,883-67-4542,829508670
171,171,A9LdB7A3D,339-24-9370,248646274
172,172,K05hR7G92,234-58-9909,160060422
173,173,Q8P980IlA,788-73-7121,829804356
174,174,20NmZ67kN,135-80-0115,575335695
175,175,J51lG4XbR,326-97-5143,735873827
176,176,D3MpS4YeW,740-10-1925,929751658
177,177,S6ZgZ9VyA,577-12-0533,446984928
178,178,S0WfS38uA,683-20-8132,388196263
179,179,R4Az09C9Q,194-76-8148,926099827
180,180,19HeM9N0E,895-03-3633,308761419
181,181,L70yG4MdF,115-44-4175,357430227
182,182,Z1PuI8Xl9,733-85-8618,329079255
183,183,31JcL1FlD,456-16-5805,771827826
184,184,20A0T7RgJ,513-32-7955,296772524
185,185,S6FtP84f3,399-02-3643,654261757
186,186,K1QoH4YmV,101-71-3245,443934565
187,187,E1XwN4O0R,778-94-3284,169077124
188,188,G6ZoY6ZbM,131-70-3338,136131348
189,189,F0T6V3AuF,739-64-0784,832048956
190,190,C6YhY5MoR,766-09-9525,759165569
191,191,T07364HcG,782-18-4347,413547363
192,192,69XtF1Lt4,720-65-7752,061435322
193,193,U87zF7TfH,329-01-7975,486450538
194,194,71Co98T34,187-81-9386,238224183
195,195,L6AmM20bY,275-96-0077,380422842
196,196,2746J8YeH,608-42-5856,162733433
197,197,16FdY2XoY,110-45-2710,014369117
198,198,F17qI52mC,417-98-6243,827314323
199,199,L3N8M0KoW,520-94-6477,113048622
200,200,184h647cH,319-11-0691,750044566
201,201,17Yy723d3,856-59-6923,396336957
202,202,X0Ja27Gu2,340-95-1235,459601157
203,203,28D1146cM,103-59-6014,074357054
204,204,A5JlD9MbC,691-44-6405,715564862
205,205,D75dJ7A7Q,671-29-0148,033639828
206,206,E1VqF16n9,386-20-8516,601883721
207,207,K05fO2WpI,892-77-9816,109017550
208,208,W4WcG037W,442-50-5859,628671362
209,209,49Dt37O48,213-96-8194,961088608
210,210,A8UxR6Se0,163-49-6109,207235496
211,211,K08zO3JsX,431-72-1190,784086701
212,212,I78pU6ZiA,800-34-9322,691265199
213,213,30Ru20DjN,721-34-3756,374666349
214,214,O4Ek8492M,824-89-1194,901198485
215,215,Y3S4R519I,174-32-1669,020041503
216,216,Y0QcS7G19,195-80-6162,664899427
217,217,J3D6R4VvS,308-98-8016,366750245
218,218,X7BzP6Gy0,172-34-5262,835106477
219,219,I63k65F5U,498-21-1302,162736475
220,220,395gP4Nw9,478-77-3889,581371030
221,221,I502N00dS,801-84-1639,170352580
222,222,T79mI73xR,609-77-7984,691296798
223,223,L38qW14wU,391-25-6563,957125474
224,224,B2Gi891vE,878-49-0099,179578789
225,225,55PnC9SkH,295-41-5860,381868013
226,226,W6L3L2Q7U,101-42-6090,074421409
227,227,848562RxR,777-67-9011,764416093
228,228,I1V100ThF,810-21-6326,238738720
229,229,C7JaX3VsW,588-95-5881,109318715
230,230,D793V3Y0T,157-68-8143,251674551
231,231,317qL04k3,338-27-9201,385535458
232,232,F22g15IvY,186-63-2176,030158592
233,233,I7Vt22W7I,138-10-3428,031507642
234,234,R1YeQ6XjO,134-77-5741,999874019
235,235,931kX055F,191-06-3748,638247712
236,236,I1SsF7918,376-69-5986,608668239
237,237,W14eW1TeV,217-60-5989,526596657
238,238,A8B7I40yR,170-20-2082,667207206
239,239,18XgZ0H01,234-78-7634,544479404
240,240,Z5KvC6TjD,800-91-0967,786248586
241,241,X73eN0Xs6,760-71-7114,765451389
242,242,G80z579tT,400-96-4158,080299431
243,243,H8JhY9NwN,209-49-6406,658064636
244,244,G6S3T8Ib7,524-28-1820,025970002
245,245,E2YlA0CxI,440-99-5983,871655590
246,246,80Yf18VlP,223-91-0338,004860942
247,247,D3OmA5JqO,408-42-6510,761210258
248,248,P4KtT88qI,852-12-9369,897896306
249,249,W5CyT6OgL,444-18-5564,963852904
250,250,T5S8Z61qQ,151-89-3978,440713916
251,251,7242Z0Z96,429-12-1516,045519266
252,252,L5JcS1MeI,541-82-1132,239823515
253,253,V10nI0Cv6,146-26-3400,834441273
254,254,V3YwV3KhN,899-78-5657,335588435
255,255,B8EvH19iT,602-16-6916,385103656
256,256,V3M9G5NsL,284-25-1680,637833814
257,257,D8T6M3RuD,275-38-6623,403848710
258,258,43U936SyA,632-50-7171,366450004
259,259,X8167625V,646-41-4234,413786443
260,260,M6Mz44LzN,611-25-2896,420234406
261,261,G7Af74Ut5,727-92-8176,026595165
262,262,02WaL3KaD,899-51-8531,636317854
263,263,W11mV4StC,189-18-9836,575532505
264,264,328fL3ZkL,826-94-5283,549898681
265,265,U8HgJ2EoA,487-23-5700,000601835
266,266,56AaM9By4,163-70-6234,628507493
267,267,T8G2H9PfK,660-12-1578,684244851
268,268,H4U1O65x7,561-50-9702,832544467
269,269,Z3Z1236wJ,353-06-9091,386780007
270,270,Y6V0U4SeH,294-01-5113,669719985
271,271,P4OcS5WxG,343-46-0122,067554829
272,272,T0VsU59wW,501-82-4458,028186641
273,273,812oU4ZpH,655-71-9325,594728337
274,274,K100O8Wi7,781-31-7099,836000307
275,275,D1Lm17ZtP,386-40-7924,119835108
276,276,47R210VvV,718-75-2701,906402087
277,277,A1AfQ5MdA,494-25-4152,229735497
278,278,R0AsP84zH,826-51-1904,820828909
279,279,Q3S777NmF,200-93-7855,747510887
280,280,K57iA9T35,208-70-8874,336158632
281,281,L5Or38Pm6,121-23-4094,320559600
282,282,C30372DlS,117-88-3466,409025406
283,283,K9Fg98AaR,683-78-2315,541362527
284,284,F7BrF3ScG,765-07-6723,943113440
285,285,78V1108fJ,581-57-2572,283574954
286,286,O2W926Hu6,629-43-0502,953804862
287,287,30PaP3FiU,172-32-6384,726914587
288,288,G2Pn016oL,462-46-5603,676569504
289,289,7297L6NqM,528-84-6394,647123397
290,290,Y7Fo82Eg8,220-34-3992,140823864
291,291,R4ZnM3Q2O,835-90-0347,682513643
292,292,H5V8V8C2I,635-14-5003,698969262
293,293,P5U161Y2X,215-46-2777,434207755
294,294,35RyJ9R0J,466-72-8834,639177509
295,295,B49vU2HeQ,569-84-9108,876171092
296,296,Q2QsF9AmH,850-68-6959,234450081
297,297,B38dH99fW,723-14-6058,974423107
298,298,Q3RqQ28kZ,647-99-5914,570608761
299,299,O6D870ToK,806-25-8778,547609935
300,300,G5SqE71k9,149-66-6939,789544733
301,301,255w03K94,639-59-8798,388344047
302,302,M4I4A0M4C,362-30-2273,395880429
303,303,M7C7E8K49,388-23-0260,989029059
304,304,606uW1Sx3,630-18-8946,627485758
305,305,K469M5QpG,263-03-1014,366654641
306,306,J8ViC5U89,143-80-5471,043214374
307,307,82YdC2KeI,238-93-4997,615389762
308,308,B4EgC49p2,605-44-2125,971708241
309,309,M2U4X8AxW,774-86-2069,427874879
310,310,W3YiL7I0S,535-30-1818,646974634
311,311,X1GwU2F6Q,114-13-6822,610880067
312,312,C4HqU0Ch8,575-93-4563,186993099
313,313,U7SvE2NhI,625-25-5299,298405736
314,314,07SiO3Xb7,788-43-1257,429109709
315,315,P3Qq13VfR,691-15-8078,313323708
316,316,20WgY2Yb2,637-19-5626,887488438
317,317,X55l28XeC,370-09-3945,022562742
318,318,K3Yv91Wm6,528-24-2129,941166431
319,319,40W2T5FmK,861-43-7418,494649097
320,320,V1QgN4NnP,499-64-5160,651654621
321,321,647xN7H4G,130-85-5826,740191889
322,322,2603Z8ExN,698-47-2604,083936881
323,323,Q3U9B5PtL,311-06-3114,889899649
324,324,Q21i003cW,850-36-4827,932871554
325,325,299zZ1MxW,704-21-7475,783728355
326,326,G5EbH8Jd1,204-44-6508,925518752
327,327,6627S13j9,483-57-6703,678022379
328,328,N4I4D1W5M,549-91-0569,962029199
329,329,R50jK238T,567-19-2755,765950314
330,330,H9OpU7Yp6,687-67-3414,670122427
331,331,Q4Ow74AiS,441-15-6244,153528916
332,332,9159V1Hb4,374-13-2396,529856354
333,333,K8GxT2513,432-06-2394,112857624
334,334,Z84tP0Mb1,813-68-4249,598266595
335,335,A53rA95qF,554-14-3955,113924985
336,336,A64g68IhR,792-06-1382,005709636
337,337,Q6Kf1946E,430-63-2689,457216896
338,338,Y91wN0NlG,187-45-8745,001301925
339,339,T1S0L7KcK,557-61-9302,197325486
340,340,K3WlT97uM,342-51-0138,343444961
341,341,T2CfG76sB,756-45-1741,248169073
342,342,D7Rw410o1,739-21-3995,464401986
343,343,J9GpS10l3,787-11-3153,467049956
344,344,115zI5Ts3,727-53-1790,796351093
345,345,P9VqG5J75,780-92-8981,179936461
346,346,J9DeL7SgJ,468-05-3816,581164480
347,347,Q63yB5TgN,693-95-4203,739040949
348,348,O6MsU1K1R,255-09-4088,611192516
349,349,55NeU9NqQ,575-66-6475,037665410
350,350,Q2Ao58MuS,118-94-4999,598974913
351,351,D79vI5410,458-71-2143,944339932
352,352,M5UqH67xD,739-68-7584,552844461
353,353,065jM70pE,420-21-5085,542713909
354,354,X7LhA2HhT,715-11-8020,069430462
355,355,V2CoX065Z,548-45-1361,144351734
356,356,J1Tb96Q97,208-53-2898,472706877
357,357,15XnS5GoE,261-68-8879,260605677
358,358,V0LyY43vV,288-11-2268,939927622
359,359,A03kQ7Xs4,351-73-1745,463831328
360,360,Y9G322IzE,114-23-5065,649586888
361,361,A6KiW5Q4K,169-19-0307,243533774
362,362,46ItG0Yg4,365-60-7987,163889990
363,363,02GnD9OvS,349-19-1496,940439177
364,364,A7NsB7VvT,726-84-9610,895751070
365,365,V20e269kO,243-79-7578,652174648
366,366,90Sk832mB,264-43-4853,915436716
367,367,J1GnA3F2U,340-81-8613,555339919
368,368,E9SmO0K93,587-65-2055,678211909
369,369,I51cJ4S0S,774-71-7830,996959721
370,370,Z1UxU5Q5A,116-67-3611,327610077
371,371,X0UlC8616,740-75-1144,246716216
372,372,K6OnJ90t0,315-26-0332,985382301
373,373,S48eZ36j4,126-21-7249,869215529
374,374,F6YsQ9Ct7,202-67-1122,856909400
375,375,I5Wl38JwX,551-62-8747,095107563
376,376,J2OuO9Dw6,660-17-1972,490991515
377,377,M78550W23,233-90-0521,822372176
378,378,8578D2Hl5,856-01-9458,925769093
379,379,M3ZpU8XkF,130-98-9383,306914423
380,380,U8UmL08x0,737-41-8403,878869093
381,381,28I8X2Jd1,466-04-0275,196328364
382,382,K3LqH4R7G,327-17-9671,237554612
383,383,X8F4F9YnL,649-22-9713,149232839
384,384,J36hJ5CpT,847-39-0634,487711057
385,385,K5R5J5OnK,821-95-3726,735725757
386,386,41B341LiS,119-96-5897,429781163
387,387,R5SoT7JbX,722-15-6211,138705423
388,388,K10oS43cZ,266-02-1516,782502264
389,389,P8KpU8Oe6,817-69-9430,468674999
390,390,M79gJ0RwD,281-89-7121,478816594
391,391,K93uF95m1,814-47-4959,809061145
392,392,I1E9W7WdM,150-58-8095,166379876
393,393,03Ov302uY,676-37-0946,638087983
394,394,P871G0Od7,320-40-2189,524651503
395,395,S1Ne375v3,351-73-0818,906271870
396,396,82YmH2SqH,312-04-0735,877434673
397,397,A23bD8N7B,487-06-0803,342773775
398,398,02Z9U6ZfR,453-90-1519,718140604
399,399,T786W32g4,721-64-8844,324863715
400,400,F651D9Of8,758-52-1016,210918402
401,401,Z4NrH7BkN,465-71-7757,225068278
402,402,Y91wU1Lh0,355-67-1195,992537663
403,403,67Zy34Rw5,108-09-6902,827185073
404,404,79Db06Pw2,154-83-8029,949312075
405,405,L69h59UlU,254-29-7720,312629165
406,406,35Vu64Aa2,230-40-2260,589650428
407,407,V63oD5Xf9,372-90-0155,550357482
408,408,E4Fx23A39,141-96-5491,090103855
409,409,P6WaS4HgY,687-43-9994,165673759
410,410,58QcP8B2V,269-40-1792,545703890
411,411,X51c33GcH,184-46-3361,143582783
412,412,J86qQ9LrU,574-43-7624,458092271
413,413,R3Ca23Be2,485-58-5155,944809731
414,414,D9Cn08KgM,248-22-2277,948694371
415,415,A50oM3CrQ,584-64-0800,405481210
416,416,I5S8I814X,305-81-5231,601587665
417,417,P4Yc59Br7,389-87-0697,434865329
418,418,23Zl08RhR,474-26-1508,173215361
419,419,92Iv15Ap3,847-47-8673,579402611
420,420,03IfN9Z7Q,615-75-0829,182732027
421,421,73C0D8W93,700-57-7960,784000118
422,422,09O1Y56s8,243-59-9816,291686113
423,423,E5W9E79dI,213-88-8772,343295154
424,424,V3XhS355F,686-25-2504,614533517
425,425,F566C2Xc0,424-83-6066,191149801
426,426,L26m82C19,781-20-7018,899998156
427,427,10V156FjZ,211-69-8729,649720787
428,428,87BaN98xY,877-23-3727,439777745
429,429,H9InB7KyC,661-24-6025,935726546
430,430,40WrI804V,311-29-0116,994946846
431,431,P4Hq63RqR,409-61-1528,133031425
432,432,58H5I4AsQ,823-66-2890,724202451
433,433,L0F8V71hP,356-97-8421,630004383
434,434,Z2C8F20jX,626-52-1126,835051404
435,435,V12d12RcZ,342-01-3624,171520307
436,436,25PjQ3EbD,402-07-5076,307798653
437,437,E9JwJ3DwR,101-91-5126,305301373
438,438,F40rD28eP,466-95-4154,823599943
439,439,J4EwY96gS,545-07-1496,840095393
440,440,K8Om54IoF,193-69-0510,096784690
441,441,39KuA1OsP,587-94-6373,027645271
442,442,R7J27273N,542-94-5254,822079757
443,443,W7T3W8EzK,735-87-5431,191667486
444,444,63YoJ3Rj2,648-86-4303,030655027
445,445,43IlM6Z2C,456-45-8995,152018055
446,446,Y9Ep9077J,348-76-1534,070037359
447,447,O0PkQ50yM,593-07-9128,885397417
448,448,G8PmC9LzY,150-31-5086,683743732
449,449,96BfO4OiQ,304-43-2871,962568012
450,450,B2PaW1K9Q,273-86-4973,465035852
451,451,3604S7DnX,677-99-5642,114259997
452,452,33OeF9ZyA,249-97-1009,553228708
453,453,P4XrQ6CoA,719-31-9821,773275649
454,454,I8W0U2AnG,258-67-9441,430504906
455,455,V29iB4IlL,359-42-0070,255990870
456,456,R38082X06,145-64-3691,884464175
457,457,E9BrG4O4R,315-55-9705,597849986
458,458,98H0Z2U0Q,793-51-5937,275266001
459,459,P8KfG8JlP,459-40-1017,924291949
460,460,I4W490O7P,102-60-1109,927903091
461,461,O03tD9R45,440-29-4895,724240765
462,462,V7BpN1AgI,505-72-4287,635081499
463,463,D4NvI1GpM,884-48-9844,008388247
464,464,N0YgE4BtB,574-78-7341,727022873
465,465,A77pD8Fr9,368-75-5527,832970934
466,466,284251GtO,768-62-0538,805380050
467,467,T0WzZ7I18,305-20-2550,140841101
468,468,61Cf12Ia0,738-69-7073,710221624
469,469,R1VlQ1VcT,298-19-1178,498321602
470,470,O700N5BtF,319-58-5543,818472948
471,471,32XqA2S25,518-07-5642,821518974
472,472,E7Ah78Tn8,839-83-6656,018229665
473,473,Z31wC3JlU,348-17-9246,519957587
474,474,B5XrA0FqX,685-32-8556,413511550
475,475,08L510Sa2,155-75-9657,609646849
476,476,120cP2Tc0,100-04-1048,339756012
477,477,H6Be763lM,323-63-3147,157658611
478,478,N5LcO7Vk1,811-08-2770,156162111
479,479,O7R473R9F,336-86-7487,882253008
480,480,P162S6Pv0,124-43-4765,916574082
481,481,T6NgQ4G2Z,806-14-2624,687066982
482,482,B5SzR0DrX,165-40-1200,722502293
483,483,P3M859YeQ,268-15-3440,403576820
484,484,36J4P2NoF,716-68-4995,087175852
485,485,W8XvC34cJ,643-97-1010,212483415
486,486,J177B5HaQ,821-76-7911,087696100
487,487,M6Ia19LtH,735-72-5593,992238739
488,488,132jW97vZ,389-76-4563,156860892
489,489,W8M5Q4D3T,558-30-2525,031023338
490,490,G266L0Df9,461-83-6608,444538289
491,491,O81fK292C,800-20-3387,259312629
492,492,382rT5A86,235-63-6995,328362766
493,493,X1ShG92z5,133-82-5845,575389961
494,494,A2EpC19sQ,694-08-4959,305201255
495,495,R9RnA8G68,143-22-8335,757196518
496,496,F632R1KhT,442-02-6777,579186063
497,497,U26jK5EyF,422-74-2335,048513282
498,498,A2Ot21F2O,477-81-6057,095000514
499,499,E6F0C6Yw1,435-44-2136,936181553
500,500,78G8G5Er8,183-04-9988,931940325
501,501,M4Al85ErB,862-37-5960,954722332
502,502,P1YaN4W6F,611-36-5962,419869206
503,503,P5My78EmC,815-89-5085,000776590
504,504,A1C6Q97bF,863-44-0850,587232009
505,505,F05jX2Sp6,401-54-7013,763891670
506,506,V8B5X0ToB,888-85-1588,767695562
507,507,T5526116A,611-14-1106,627320901
508,508,91B1K909J,772-29-1096,565662950
509,509,T5OpX6YpU,329-20-1930,510011616
510,510,S0EnO5SpT,503-30-0816,460802464
511,511,189sJ92bU,287-55-8428,800726245
512,512,O6MuQ4E54,886-60-1786,171713751
513,513,372s18PcX,463-53-8035,279884712
514,514,N053L47qA,176-29-4979,358350848
515,515,R67436X2W,778-89-5603,573045777
516,516,O22mK3MkY,645-37-4823,687193084
517,517,Q1Wl75IvZ,390-28-0025,421337714
518,518,E9Rb385bX,789-44-6859,617774102
519,519,Z5X8Y006B,775-23-5188,464746280
520,520,W2B5M6LwL,482-55-6266,483658788
521,521,R71lW2Kr2,767-87-1296,089555709
522,522,18TqX2R45,438-21-0883,834480356
523,523,M3Lx361eR,820-22-2621,070212332
524,524,P4NuX4EeR,444-92-8986,757393677
525,525,X82yB55c9,487-88-1237,130759008
526,526,C96vW63kQ,729-48-4224,644886269
527,527,J5QqJ9D0W,706-66-5855,643439068
528,528,Z73gB0309,806-94-3642,122450104
529,529,V0XyJ0AcD,171-66-8755,122932051
530,530,X4Y9F76aT,816-55-8187,952569549
531,531,08VmH9SiY,874-10-2769,467709799
532,532,J1BmW859E,444-31-9102,889395097
533,533,V0ZrA38l0,623-44-3709,424251392
534,534,A4BaP58lE,490-44-4172,126915225
535,535,A4Vc32Pa5,373-42-5982,542558454
536,536,J311U04bV,316-43-9097,560418680
537,537,28I3038n9,628-10-7568,791344893
538,538,J1U5S9Gl0,847-96-3880,704055152
539,539,F3Of55P39,222-54-5245,461776043
540,540,L4CzH2EtE,879-30-6358,874035351
541,541,R7Ko35091,329-51-1545,247547629
542,542,O26p093t1,691-90-3218,514951869
543,543,W9K0Y1L4U,189-27-7340,541492012
544,544,J33sF4F9W,813-20-3175,543227755
545,545,39Bt15ExU,494-26-4835,778721459
546,546,F847Y3Y07,706-67-9110,240247096
547,547,85C1C1O9R,407-65-4196,455994691
548,548,C1TjZ1716,312-11-0917,247944793
549,549,40GxC8NxW,533-06-7887,378846935
550,550,L1L4F4YgW,575-72-9786,823811602
551,551,Z0UlS0XxE,422-43-4086,788047120
552,552,O2Or298gN,254-73-4790,152782066
553,553,E6CnV9R1A,300-47-6924,943886069
554,554,P22aI3Ig5,178-19-6611,172935777
555,555,404qX2OlD,632-55-3798,080756189
556,556,99J3Y5Z87,711-78-0778,392751408
557,557,W0PsB9YuA,180-77-8532,002438807
558,558,28Q754Rd5,646-72-8270,666957140
559,559,P3RkI78iW,828-16-7315,073517990
560,560,D0IoI4AuE,547-52-0669,232552448
561,561,T45lF3E1K,673-11-9237,832186276
562,562,A325H8H5H,261-61-6349,137942415
563,563,F25cU2G4F,416-73-7570,704803915
564,564,F5F26837Z,748-59-0526,120443436
565,565,K90vM44xH,333-28-5364,290634619
566,566,80H479WuE,296-03-7012,268723902
567,567,T74y69OvG,159-22-7702,171074055
568,568,18Y2Z73a0,528-55-3820,116084200
569,569,J2EeO8J7K,449-80-6593,690379701
570,570,D750D0DwD,330-70-7970,066680163
571,571,20H6V1LjK,422-72-4367,711775873
572,572,116zB7802,798-10-0112,972090356
573,573,A5RaQ8Zm6,740-42-1512,074840466
574,574,E7ZyG7Qr9,818-56-5641,661225508
575,575,M3Zx38304,128-74-7649,026857204
